Sold,,,,,,,,,,,
Address,Total $ Invested,Sales Price,Gross Profit,Sale Date,Size (Single/Double),Year Built,Must Move (Yes/No),Bedrooms/Bathrooms,Windzone 1 or 2,Move in ready?,Rating
"1093 Hollow Creek Rd. Salley, SC","$17,500","$28,000","$5,250",11/14/2023,Single,1997,Yes,3/2,2,,
234 Miami St. Lot 115,"$34,257","$49,000","$14,000",11/22/2023,Single,2015,No,3/2,2,,
"312 Chelsea Jeanne Way Ladson, SC","$27,200","$34,000","$6,800",12/4/2023,Single,1999,No,3/2,2,,
"203 Vicksburg Dr. Summerville, SC","$47,710","$65,000","$17,290",12/11/2023,Double,2005,No,4/2,2,,
1110 Tamassee Ct. Saint Stephens,"$6,150","$11,000","$4,850",12/15/2023,Single,1998,Yes,3/2,2,,
2859 Cane Slash Rd. Johns Island,"$15,000","$28,000","$13,000",12/30/2023,Double,2002,Yes,4/2,2,,
"153 St Clair Rd. Ridgeville, SC 29472","$17,500","$30,000","$12,500",1/5/2024,Single,1998,Yes,2/2,2,,
"1048 Seaboard Rd. Saint Stephens, SC","$7,500","$19,500","$12,000",1/20/2024,Single,1995,Yes,3/2,2,,
566 Birchwood Dr. Moncks Corner SC,"$30,500","$50,000","$19,500",1/28/2024,Single,2014,No,3/2,2,,
"2581 Rehoboth Rd. Cottageville, SC","$4,900","$15,000","$10,100",2/28/2024,Double,1993,Yes,3/2,2,,
"139 Oak Crest Dr. Moncks Corner, SC 29461","$16,500","$48,000","$31,500",3/1/2024,Double,1999,Yes,3/2,2,,
"308 Green Hills Dr. Gilbert, SC ","$4,000","$16,000","$12,000",3/28/2024,Single,1994,Yes,3/2,1,,
"254 Serendpity Ln. Ridgeville, SC 29472","$8,000","$25,000","$17,000",4/5/2024,Double,1996,Yes,3/2,2,,
160 Trell Ln. Orangeburg SC 29118,"$13,000","$29,000","$16,000",4/15/2024,Double,2000,Yes,5/2,2,,
"375 Winter Dr. Summerville, SC 29483","$17,800","$32,000","$14,200",5/6/2024,Single,1996,No,3/2,2,,
"626 Josie Ln. Wando, SC","$20,000","$35,000","$15,000",5/8/2024,Double,1995,Yes,3/2,2,,
"136 Lantana Ct, Santee SC","$10,600","$15,000","$4,400",5/10/2024,Double,1992,Yes,3/2,2,,
"1046 Hwy 78 Ridgeville, SC 29472","$23,000","$30,000","$7,000",5/14/2024,Single,1998,Yes,3/2,2,,
"1925 Old Hwy 52, Moncks Corner, SC 29461","$7,500","$20,000","$12,500",5/24/2024,Double,1992,Yes,3/2,2,,
"1569 7 Mile Rd. Harleyville, SC 29488","$13,000","$23,000","$10,000",5/30/2024,Single,1995,Yes,3/2,2,,
"134 Mills Rd. Lexington, SC 29072","$4,775","$15,000","$10,250",6/3/2024,Double,1995,Yes,3/2,1,,
"1046 Hwy 78 Ridgeville, SC 29472","$22,500","$30,000","$7,500",6/3/2024,Single,1998,Yes,3/2,2,,
"603 Bachelor Hill Rd. Walterboro, SC 29488","$8,850","$20,000","$11,150",6/13/2024,Double,1995,Yes,3/2,2,,
"1168 Church of God Rd. Bonneau, SC 29431","$11,000","$21,000","$10,000",6/20/2024,Double,1998,Yes,3/2,2,,
"101 Guyhudson Ln. Nesmith, SC","$16,000","$20,000","$4,000",6/20/2024,Double,,Yes,3/2,,,
"1303 Spring Hill Church Rd. Ridgeville, SC 29472","$18,000","$22,500","$4,500",7/3/2024,Double,1988,Yes,3/2,2,Yes,6/10
"5459 Two Notch Rd. Leesville, SC 29070","$12,500","$30,000","$17,500",7/12/2024,Single,2018,Yes,2/2,1,Yes,10/10
"781 Nancy's Place Ridgveville, SC 29472","$10,500","$26,000","$15,500",7/15/2024,Double,1996,Yes,3/2,2,Yes,6/10
"5925 Chisolm Rd. Johns Island, SC 29455","$18,000","$43,000","$25,000",7/15/2024,Double,2005,Yes,3/2,2,Yes,9/10
"631 Old Forreston Rd. Greeleyville, SC","$7,000","$22,000","$15,000",7/30/2024,Double,2000,Yes,3/2,2,Yes,6/10
"52 Parasol Dr. Andrews, SC","$13,000","$33,000","$20,000",8/1/2024,Single,2017,Yes,3/2,2,Yes,9/10
1925 Bacons Bridge Rd. Lot 139,"$9,250","$25,000","$15,750",8/29/2024,Single,1999,No,3/2,2,Yes,7/10
"111 Elliot Ln. St George, SC ","$34,000","$43,000","$9,000",8/30/2024,Double,2008,Yes,3/2,2,Yes,8/10
"1853 Oakdale Rd, New Zion SC","$4,000","$13,000","$9,000",9/20/2024,Single,1999,Yes,3/2,,Yes,6/10
"940 Hwy-15 S Saint George, SC 29477","$5,500","$18,000","$12,500",9/27/2024,Double,1998,Yes,3/2,2,No,4/10
"749 Royle Rd. Ladson, SC 29456","$13,000","$20,000","$7,000",9/30/2024,Single,1996,Yes,3/2,2,Yes,6/10
133 Summer Duck Ln. Bonneau SC ,"$3,500","$13,500","$10,000",10/1/2024,Double,2000,Yes,3/2,2,No,5/10
"203 Cold Harbor Circle, Summerville, SC 29486","$31,000","$43,000","$12,000",11/4/2024,Single,2017,No,3/2,2,yes,7/10
1424 Wolfe Creek Rd. Walterboro SC 29488,"$1,500","$13,500","$12,000",11/14/2024,Single,1998,Yes,3/2,2,No,5/10
"2744 Pinelog Ln. Johns Island, SC 29455","$41,500","$54,000","$12,500",11/26/2024,Double,1998,Yes,5/2,2,Yes,8/10
Creekside Lot 172,"$50,000","$48,000","-$2,000",1/24/2025,Double,2002,No,3/2,2,Yes,7/10
Creekside Lot 162,"$32,000","$36,000","$4,000",1/27/2025,Single,2012,Yes,3/2,2,Yes,7/10
"7649 Oakville Rd. Hollywood, SC 29449","$10,500","$23,500","$13,000",2/3/2025,Double,1995,Yes,3/2,2,Yes,6/10
220 Confederate Dr. Goose Creek SC 29486,"$9,500","$45,000","$35,500",2/11/2025,Double,2005,No,5/2,2,Yes,6/10
"1774 Geddings Rd. Manning, SC","$1,500","$6,000","$4,500",2/20/2025,Single,1990,Yes,3/2,2,Yes,5/10
"9 Dollie Circle, Summerville, SC 29485","$11,000","$33,500","$22,500",3/17/2025,Single,2005,No,3/2,2,Yes,8/10
2551 Midland Park Rd. Lot 105 North Charleston,"$10,365","$29,000","$18,635",4/8/2025,Single,2004,No,3/1,2,No,4/10
270 George Keen Dr. Summerville SC 29483,"$6,550","$13,000","$6,450",5/17/2025,Single,1993,No,3/2,2,No,5/10
2762 Burden Creek Rd. Johns Island SC,"$9,000","$42,000","$33,000",5/19/2025,Double,1992,Yes,3/2,2,Yes,6/10
"1324 Alt US-17 Hwy, Moncks Corner SC (Lot11)","$10,000","$12,800","$2,800",6/10/2025,Single,1989,Yes,3/2,2,Yes,7/10
"385 Old Fort Dr. Ladson, SC 29456","$14,000","$18,000","$4,000",6/19/2025,Double,2003,Yes,3/2,2,Yes,7/10
